identifier	date	year	creator	title	language	collection
venetianbargain0000fior_g6t3	2014-01-01T00:00:00Z	2014	Fiorato, Marina	The Venetian bargain	eng	internetarchivebooks; printdisabled; fav-cookie20185079; fav-kiapenner1; fav-perlenturner; fav-shieldmaiden1298; delawarecountydistrictlibrary-ol
SSID19249539_0111080601_1024.jpg	2001-11-08T00:00:00Z	2001	Timothy Moore Project Collection	Teatro Olympico of Palladio (Andrea di Pietro della Gondola, 1508-80) in Vicenza, Italy		imagesofancientmusic; WashUDepartmentofClassics
lefabbricheeidis04bert	1843-01-01T00:00:00Z	1843	Bertotti Scamozzi, Ottavio, 1719-1790; Foppiani, Celestino; Bertotti Scamozzi, Ottavio, 1719-1790. Terme dei Romani disegnate da Andrea Palladio	Le fabbriche e i disegni di Andrea Palladio e Le terme	ita	tischlibrary; blc; americana; fav-alvelin; fav-brownfinn; fav-chonkyapple; fav-correggiokid; fav-csaldana89; fav-elisa_aguirre; fav-firstcaucasoid; fav-gerolamo_trequattrini; fav-h
les-batiments-et-les-dessins-...-palladio-andrea-bd-6t-5397109d	1790-01-01T00:00:00Z	1790	Bertotti Scamozzi, Ottavio, 1719-1790; Foppiani, Celestino; Bertotti Scamozzi, Ottavio, 1719-1790. Terme dei Romani disegnate da Andrea Palladio	Les Bâtiments et les dessins de André Palladio recueillis et illustrés par Octave Bertot	ita	booksbylanguage_italian; booksbylanguage; fav-artursz
gri_33125011181761	1761-01-01T00:00:00Z	1761	Bertotti Scamozzi, Ottavio, 1719-1790; Dall'Acqua, Cristoforo, 1734-1787; Vendramini Mosca, Giovambattista	Il forestiere istruito delle cose più rare di architettura, e di alcune pitture della città di Vicenza : dialogo	ita	getty; americana; fav-agust_n_quiroga; fav-alvelin; fav-cesar_faustino563; fav-helgiklimov; fav-krishnal; fav-rafa_cerq
bim_early-english-books-1641-1700_the-first-book-of-archit_palladio-andrea_1676	1676-01-01T00:00:00Z	1676	Palladio, Andrea.	The first book of architecture, ... 1676	Middle English	pub_early-english-books-1641-1700; bim_microfilm; microfilm; fav-glueballads
thingiverse-926475	2015-07-15T00:00:00Z	2015	Andrea Orlandi (vstrom61)	Vicenza - Villa La Rotonda - Andrea Palladio (926475)		thingiverse
bookofarchitectu00pall	1733-01-01T00:00:00Z	1733	Palladio, Andrea, 1508-1580; Le Muet, Pierre, 1591-1669; Richards, Godfrey; Pope, William	The first book of architecture	eng	getty; americana; fav-ags2_0; fav-arc_gzzz; fav-aurexmagnus; fav-helgiklimov; fav-hollyhax; fav-kelsea_wood; fav-leigh_lagrimas; fav-mj12; fav-pere432; fav-seaera; fav-smith111; fa
bim_eighteenth-century_1721_1	1721-01-01T00:00:00Z	1721		Melopeia Sacra or a Collection of Psalms and Hymns 1721: Vol 1	English	pub_eighteenth-century; bim_microfilm; microfilm
dbc.wroc.pl.005614	1797-08-12T00:00:00Z	1797	Bertotti Scamozzi, Ottavio	Le terme dei Romani	ita	polishpublicdomain
